 '1545668402218', '"Personal Life"'
 '1545668658996', '"Personal Life"'
 '1545668824574', '"Personal Life"'
 '1545669225569', '"No category"'
 '1545669333506', '"Art & Entertainment"'
 '1545669632320', '"Personal Life"'
 '1545669921633', '"Art & Entertainment"'
 '1545670151031', '"No category"'
 '1545670462076', '"Personal Life"'
 '1545670910092', '"Art & Entertainment"'
 '1545671400891', '"Social"'
 '1545671548793', '"Art & Entertainment"'
 '1545672003019', '"Personal Life"'
 '1545673182253', '"Personal Life"'
 '1545673279968', '"Personal Life"'
 '1545675517549', '"No category"'
 '1545676200000', '"No category"'
 '1545676494543', '"Personal Life"'
 '1545676986636', '"Social"'
 '1545677274559', '"Personal Life"'
 '1545677698206', '"Resting"'
 '1545694603399', '"No category"'
 '1545694743129', '"Personal Life"'
 '1545700331094', '"Social"'
 '1545700503118', '"Personal Life"'
 '1545701757723', '"Chores"'
 '1545701933402', '"No category"'
 '1545702057552', '"Personal Life"'
 '1545703176376', '"Transport"'
 '1545703468051', '"Transport"'
 '1545704773027', '"Personal Life"'
 '1545705020863', '"Transport"'
 '1545705427600', '"Personal Life"'
 '1545705951738', '"Transport"'
 '1545706132381', '"Personal Life"'
 '1545706431579', '"No category"'
 '1545706571110', '"Personal Life"'
 '1545707675132', '"Personal Life"'
 '1545707917134', '"Personal Life"'
 '1545708666402', '"Personal Life"'
 '1545708980067', '"Personal Life"'
 '1545709406374', '"Social"'
 '1545709635149', '"No category"'
 '1545709852631', '"Personal Life"'
 '1545710171532', '"Art & Entertainment"'
 '1545710445781', '"No category"'
 '1545711580667', '"Hobbies"'
 '1545711818374', '"Art & Entertainment"'
 '1545713745580', '"No category"'
 '1545714156553', '"Art & Entertainment"'
 '1545714973350', '"No category"'
 '1545716116271', '"Art & Entertainment"'
 '1545719191685', '"No category"'
 '1545719364658', '"Social"'
 '1545719674225', '"No category"'
 '1545720138274', '"No category"'
 '1545721282395', '"Transport"'
 '1545722432096', '"Personal Life"'
 '1545724739236', '"Personal Life"'
 '1545725627976', '"Personal Life"'
 '1545726069192', '"Personal Life"'
 '1545732174957', '"No category"'
 '1545732559339', '"Art & Entertainment"'
 '1545732857968', '"Social"'
 '1545732971180', '"Social"'
 '1545733180790', '"Social"'
 '1545733325198', '"Personal Life"'
 '1545733804362', '"Transport"'
 '1545734624671', '"Personal Life"'
 '1545737637188', '"Social"'
 '1545737988882', '"Art & Entertainment"'
 '1545738503266', '"Social"'
 '1545738768203', '"Social"'
 '1545738878337', '"Art & Entertainment"'
 '1545739073254', '"Social"'
 '1545739222628', '"Art & Entertainment"'
 '1545741048520', '"Personal Life"'
 '1545741540950', '"Art & Entertainment"'
 '1545742015641', '"Social"'
 '1545742634070', '"Art & Entertainment"'
 '1545742765075', '"Personal Life"'
 '1545742920917', '"Art & Entertainment"'
 '1545743019637', '"Personal Life"'
 '1545743448538', '"Social"'
 '1545743677941', '"Personal Life"'
 '1545744104331', '"Art & Entertainment"'
 '1545745879598', '"No category"'
 '1545746005911', '"Personal Life"'
 '1545747684028', '"Social"'
 '1545747956452', '"Personal Life"'
 '1545748320034', '"Resting"'
 '1545748337124', '"Art & Entertainment"'
 '1545751141304', '"Resting"'
 '1545752402954', '"Art & Entertainment"'
 '1545754368424', '"Resting"'
 '1545755033968', '"No category"'
 '1545755202540', '"Art & Entertainment"'
 '1545756146037', '"Social"'
 '1545756249762', '"No category"'
 '1545756368507', '"No category"'
 '1545756624890', '"Art & Entertainment"'
 '1545756735463', '"No category"'
 '1545757167650', '"Social"'
 '1545757361001', '"Professional Life"'
 '1545757553482', '"Social"'
 '1545757935025', '"Social"'
 '1545758238453', '"No category"'
 '1545758734668', '"Social"'
 '1545759081746', '"No category"'
 '1545759350533', '"Resting"'
 '1545759511142', '"Resting"'
 '1545759776535', '"Resting"'
 '1545762600000', '"Resting"'
 '1545779547588', '"Transport"'
 '1545779697692', '"Transport"'
 '1545779932973', '"Social"'
 '1545780096547', '"Resting"'
 '1545780853360', '"Transport"'
 '1545781212838', '"Resting"'
 '1545783316224', '"No category"'
 '1545783637641', '"Transport"'
 '1545784289678', '"Sport & Fitness"'
 '1545785163243', '"Personal Life"'
 '1545789523935', '"Transport"'
 '1545789686546', '"Personal Life"'
 '1545789912882', '"Social"'
 '1545790108228', '"Personal Life"'
 '1545790598125', '"Transport"'
 '1545791163116', '"Social"'
 '1545799601145', '"Transport"'
 '1545800163742', '"Social"'
 '1545805144259', '"No category"'
 '1545805288201', '"Social"'
 '1545808112202', '"No category"'
 '1545808342520', '"Transport"'
 '1545808566301', '"No category"'
 '1545808764381', '"No category"'
 '1545809569770', '"Transport"'
 '1545811181978', '"Professional Life"'
 '1545812117323', '"No category"'
 '1545812231287', '"Professional Life"'
 '1545812720267', '"Social"'
 '1545813103751', '"Art & Entertainment"'
 '1545814467892', '"Professional Life"'
 '1545814678877', '"Transport"'
 '1545814862446', '"Transport"'
 '1545815161023', '"Transport"'
 '1545815470520', '"Social"'
 '1545815569699', '"Social"'
 '1545815955539', '"Transport"'
 '1545816098710', '"Transport"'
 '1545816487204', '"Personal Life"'
 '1545817124840', '"Transport"'
 '1545817245072', '"Personal Life"'
 '1545817405043', '"No category"'
 '1545817812943', '"Transport"'
 '1545818298779', '"No category"'
 '1545818668912', '"Transport"'
 '1545818919442', '"Transport"'
 '1545819102632', '"Transport"'
 '1545819626262', '"No category"'
 '1545819967172', '"Social"'
 '1545820173198', '"Personal Life"'
 '1545825736351', '"Chores"'
 '1545826454103', '"Personal Life"'
 '1545826690893', '"No category"'
 '1545826905649', '"Social"'
 '1545827193606', '"Personal Life"'
 '1545827366528', '"Social"'
 '1545827861146', '"Social"'
 '1545827979048', '"Chores"'
 '1545828238497', '"Personal Life"'
 '1545828397295', '"Chores"'
 '1545828625799', '"Social"'
 '1545828746242', '"Chores"'
